Strategy,Run,Budget,Accuracy_B
Random,1,0.01,55.896607431340875
Random,1,0.02,61.7124394184168
Random,1,0.05,63.48949919224556
Random,1,0.1,78.19063004846527
Random,1,0.2,83.52180936995154
Random,1,0.5,86.4297253634895
Random,2,0.01,68.17447495961228
Random,2,0.02,70.92084006462035
Random,2,0.05,75.2827140549273
Random,2,0.1,69.30533117932148
Random,2,0.2,85.62197092084007
Random,2,0.5,86.91437802907916
Random,3,0.01,40.064620355411954
Random,3,0.02,65.10500807754443
Random,3,0.05,81.42164781906301
Random,3,0.1,79.32148626817448
Random,3,0.2,71.5670436187399
Random,3,0.5,87.56058158319871
Uncertainty,1,0.01,52.34248788368336
Uncertainty,1,0.02,50.88852988691438
Uncertainty,1,0.05,68.17447495961228
Uncertainty,1,0.1,71.72859450726979
Uncertainty,1,0.2,84.97576736672052
Uncertainty,1,0.5,76.89822294022618
Uncertainty,2,0.01,57.996768982229405
Uncertainty,2,0.02,71.24394184168013
Uncertainty,2,0.05,82.06785137318255
Uncertainty,2,0.1,72.21324717285945
Uncertainty,2,0.2,86.75282714054927
Uncertainty,2,0.5,79.48303715670436
Uncertainty,3,0.01,61.7124394184168
Uncertainty,3,0.02,73.02100161550888
Uncertainty,3,0.05,70.59773828756059
Uncertainty,3,0.1,74.95961227786754
Uncertainty,3,0.2,74.1518578352181
Uncertainty,3,0.5,78.67528271405493
Diversity,1,0.01,57.35056542810985
Diversity,1,0.02,58.48142164781906
Diversity,1,0.05,67.68982229402262
Diversity,1,0.1,83.36025848142165
Diversity,1,0.2,79.1599353796446
Diversity,1,0.5,82.87560581583199
Diversity,2,0.01,57.35056542810985
Diversity,2,0.02,62.35864297253635
Diversity,2,0.05,78.51373182552504
Diversity,2,0.1,72.37479806138934
Diversity,2,0.2,74.31340872374798
Diversity,2,0.5,75.76736672051696
Diversity,3,0.01,64.1357027463651
Diversity,3,0.02,63.32794830371567
Diversity,3,0.05,72.21324717285945
Diversity,3,0.1,70.4361873990307
Diversity,3,0.2,82.22940226171244
Diversity,3,0.5,75.92891760904685
Hybrid,1,0.01,52.019386106623585
Hybrid,1,0.02,57.996768982229405
Hybrid,1,0.05,68.33602584814217
Hybrid,1,0.1,80.93699515347335
Hybrid,1,0.2,86.4297253634895
Hybrid,1,0.5,74.79806138933765
Hybrid,2,0.01,54.92730210016155
Hybrid,2,0.02,58.80452342487884
Hybrid,2,0.05,72.85945072697899
Hybrid,2,0.1,65.26655896607431
Hybrid,2,0.2,82.39095315024232
Hybrid,2,0.5,80.93699515347335
Hybrid,3,0.01,55.896607431340875
Hybrid,3,0.02,64.29725363489499
Hybrid,3,0.05,84.65266558966074
Hybrid,3,0.1,73.99030694668821
Hybrid,3,0.2,81.26009693053312
Hybrid,3,0.5,79.48303715670436
Weighted_Hybrid,1,0.01,46.849757673667206
Weighted_Hybrid,1,0.02,62.68174474959612
Weighted_Hybrid,1,0.05,76.41357027463651
Weighted_Hybrid,1,0.1,76.89822294022618
Weighted_Hybrid,1,0.2,79.48303715670436
Weighted_Hybrid,1,0.5,84.49111470113085
Weighted_Hybrid,2,0.01,39.5799676898223
Weighted_Hybrid,2,0.02,54.281098546042
Weighted_Hybrid,2,0.05,76.5751211631664
Weighted_Hybrid,2,0.1,77.22132471728594
Weighted_Hybrid,2,0.2,69.46688206785137
Weighted_Hybrid,2,0.5,87.39903069466882
Weighted_Hybrid,3,0.01,52.18093699515347
Weighted_Hybrid,3,0.02,63.32794830371567
Weighted_Hybrid,3,0.05,52.66558966074314
Weighted_Hybrid,3,0.1,79.96768982229402
Weighted_Hybrid,3,0.2,81.26009693053312
Weighted_Hybrid,3,0.5,84.16801292407108
